"Respondent","none","organic","nongmo","CRISPR","conventional","online","price"
32,0.5568932556,0.4845959989,0.5933518784,0.4772918952,0.3650116978,0.4251930419,0
35,0.4717768458,0.54210074,0.5413610729,0.5212583214,0.4210589471,0.3558966609,0
37,0.5753135354,0.5393095489,0.5556087073,0.5562660267,0.3880904955,0.3781000016,0
43,0.5650245164,0.5599621326,0.56138457,0.4235924799,0.4033931028,0.3633933643,0
44,0.8648857824,0.6097212987,0.5587543986,0.567526391,0.3460826941,0.4546868647,0
45,0.688530831,0.5678700417,0.6411891814,0.5153004113,0.4343486602,0.4414467179,0
55,0.4822230187,0.5673411905,0.5462027977,0.422127845,0.3796347126,0.3455769388,0
56,0.5604763758,0.4956770287,0.532902141,0.4283987947,0.3763346345,0.3130214744,0
57,0.8057644711,0.610556877,0.4436496194,0.3492058531,0.3808277604,0.4559139215,0
59,0.5686388471,0.5244853542,0.6414376187,0.49635656,0.4027526142,0.3431454742,0
62,0.5398825159,0.4736190908,0.5142269408,0.5125110575,0.4233713092,0.3706568168,0
66,0.6241748368,0.4652880073,0.551330882,0.5704827868,0.4084912958,0.3264765029,0
69,0.4600365721,0.4809664204,0.5649172267,0.5085017926,0.4481942314,0.417765705,0
70,0.4739257099,0.6074007649,0.6581666849,0.4916967691,0.4094229663,0.4441013337,0
77,0.4653045815,0.3356914978,0.4670323825,0.3922777059,0.2191033409,0.3483676746,0
79,0.4565923302,0.830345415,0.5984613915,0.5078567741,0.4061073122,0.5044523622,0
83,0.6869621455,0.2343853089,0.5298856013,0.1662941806,0.1648332516,0.2691238908,0
